kW,V,t1,t2,t3,t4,t5,t6
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,67.0,66.0,67.0,69.0,69.0,68.0
0.0,416.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,416.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,416.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,416.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,416.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,416.0,68.0,67.0,66.0,69.0,69.0,68.0
0.0,416.0,68.0,67.0,66.0,69.0,69.0,68.0
