kW,V
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.429,429.0
-0.0,429.0
-0.429,429.0
-0.429,429.0
-0.429,429.0
-0.0,429.0
-0.0,428.0
0.427,427.0
0.427,427.0
0.0,427.0
0.0,427.0
0.0,426.0
0.426,426.0
0.0,427.0
0.858,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,429.0
0.0,428.0
-0.0,428.0
-0.428,428.0
-0.428,428.0
-0.428,428.0
-0.0,428.0
0.427,427.0
0.427,427.0
0.0,426.0
0.426,426.0
0.426,426.0
0.426,426.0
0.426,426.0
0.852,426.0
0.85,425.0
1.272,424.0
1.275,425.0
0.852,426.0
1.272,424.0
1.696,424.0
1.696,424.0
1.696,424.0
1.272,424.0
0.85,425.0
1.275,425.0
1.696,424.0
1.696,424.0
1.696,424.0
1.696,424.0
1.696,424.0
2.115,423.0
2.954,422.0
2.947,421.0
2.532,422.0
2.532,422.0
2.954,422.0
2.532,422.0
2.532,422.0
2.947,421.0
2.947,421.0
2.947,421.0
3.368,421.0
2.947,421.0
1.272,424.0
-0.43,430.0
-0.429,429.0
-0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
0.0,428.0
-0.0,428.0
-0.428,428.0
-0.428,428.0
-0.0,428.0
0.0,427.0
-0.427,427.0
-0.0,427.0
-0.0,427.0
0.0,427.0
0.0,426.0
0.0,426.0
0.0,426.0
0.426,426.0
0.426,426.0
0.85,425.0
0.848,424.0
0.85,425.0
1.272,424.0
1.272,424.0
1.272,424.0
1.269,423.0
1.692,423.0
1.692,423.0
2.115,423.0
2.11,422.0
2.11,422.0
2.11,422.0
2.526,421.0
2.526,421.0
2.526,421.0
2.947,421.0
2.947,421.0
2.94,420.0
2.947,421.0
3.36,420.0
3.771,419.0
3.771,419.0
3.771,419.0
3.771,419.0
4.18,418.0
4.18,418.0
4.18,418.0
2.94,420.0
-0.0,429.0
-0.428,428.0
-0.0,427.0
0.0,427.0
0.0,427.0
0.0,427.0
0.0,427.0
0.0,427.0
0.0,427.0
0.0,428.0
0.0,427.0
0.0,428.0
0.0,428.0
0.0,427.0
0.0,428.0
0.0,428.0
0.0,427.0
0.0,427.0
0.0,428.0
0.0,427.0
0.0,427.0
-0.0,427.0
-0.0,426.0
0.0,426.0
0.0,426.0
0.0,426.0
0.0,425.0
0.425,425.0
0.424,424.0
0.425,425.0
0.424,424.0
0.848,424.0
0.846,423.0
1.269,423.0
1.269,423.0
1.269,423.0
1.269,423.0
1.692,423.0
1.688,422.0
1.688,422.0
2.11,422.0
2.11,422.0
2.11,422.0
2.105,421.0
2.105,421.0
2.526,421.0
2.526,421.0
2.52,420.0
2.526,421.0
2.526,421.0
2.105,421.0
2.105,421.0
0.0,428.0
