INR21700-P42A DCIR vs SOC
USE OFFSET 24.5 FOR 21700 CELLS
Data Format:  TIME;VOLTAGE;DCIR


0;4.1854;48.25

1;4.1443;47.45

2;4.1189;46.88

3;4.1011;46.34

4;4.0878;45.83

5;4.0776;45.40

6;4.0697;45.02

7;4.0634;44.65

8;4.0587;44.14

9;4.0547;44.10

10;4.0513;43.81

11;4.0485;43.60

12;4.0456;43.33

13;4.0430;43.05

14;4.0401;42.87

15;4.0371;42.80

16;4.0339;42.62

17;4.0305;42.50

18;4.0263;42.45

19;4.0221;42.25

20;4.0172;42.15

21;4.0119;42.05

22;4.0060;42.02

23;3.9998;41.94

24;3.9926;41.80

25;3.9848;41.76

26;3.9765;41.72

27;3.9674;41.66

28;3.9579;41.58

29;3.9483;41.49

30;3.9386;41.49

31;3.9290;41.37

32;3.9197;41.34

33;3.9110;41.42

34;3.9026;41.34

35;3.8947;41.32

36;3.8873;41.29

37;3.8805;41.29

38;3.8740;41.22

39;3.8678;41.17

40;3.8621;41.13

41;3.8564;41.20

42;3.8508;41.13

43;3.8449;41.20

44;3.8390;41.08

45;3.8330;41.12

46;3.8265;41.08

47;3.8197;41.13

48;3.8127;41.03

49;3.8055;41.08

50;3.7981;41.08

51;3.7905;41.07

52;3.7830;40.95

53;3.7752;41.03

54;3.7676;40.95

55;3.7599;40.90

56;3.7519;41.00

57;3.7439;40.86

58;3.7360;40.86

59;3.7278;40.86

60;3.7195;40.83

61;3.7110;40.81

62;3.7025;40.90

63;3.6941;40.86

64;3.6856;40.78

65;3.6773;40.74

66;3.6693;40.78

67;3.6612;40.83

68;3.6534;40.72

69;3.6458;40.71

70;3.6385;40.78

71;3.6311;40.78

72;3.6239;40.66

73;3.6167;40.66

74;3.6097;40.62

75;3.6027;40.69

76;3.5959;40.69

77;3.5888;40.66

78;3.5816;40.60

79;3.5745;40.69

80;3.5673;40.57

81;3.5597;40.57

82;3.5519;40.66

83;3.5440;40.55

84;3.5356;40.66

85;3.5269;40.64

86;3.5180;40.55

87;3.5086;40.57

88;3.4989;40.55

89;3.4889;40.52

90;3.4792;40.62

91;3.4699;40.52

92;3.4614;40.52

93;3.4533;40.60

94;3.4451;40.60

95;3.4366;40.61

96;3.4277;40.60

97;3.4180;40.64

98;3.4070;40.67

99;3.3940;40.72

100;3.3773;40.74

101;3.3576;40.80

102;3.3370;40.78

103;3.3171;40.83

104;3.2965;40.86

105;3.2747;40.86

106;3.2510;40.90

107;3.2256;40.93

108;3.1984;41.02

109;3.1686;41.21

110;3.1368;41.26

111;3.1031;41.38

112;3.0673;41.64

113;3.0270;41.87

114;2.9813;42.08

115;2.9283;42.60

116;2.8609;42.91

117;2.7717;43.53

118;2.680;44.14

119;2.57;45.74

120;2.4833;47.14

120.53;2.3304;inf

2;1;0
