//INR21700-P50B  SOC vs DCIR data
//Data Format TIME;VOLTAGE;DCIR
// DATA FORMAT:  Min;Voltage;DCIR
CO: 43.5
0;4.2032;62.91
1;4.1442;59.96
2;4.1198;59.26
3;4.1035;59.10
4;4.0918;59.17
5;4.0829;59.17
6;4.0755;59.16
7;4.0699;59.13
8;4.0644;59.05
9;4.0602;59.09
10;4.0551;59.03
11;4.0510;58.95
12;4.0468;59.12
13;4.0411;58.98
14;4.0347;58.85
15;4.0272;58.78
16;4.0186;58.87
17;4.0087;58.75
18;3.9977;58.86
19;3.9862;58.51
20;3.9736;58.30
21;3.9617;58.26
22;3.9489;58.33
23;3.9361;58.13
24;3.9239;58.06
25;3.9128;57.92
26;3.9016;57.99
27;3.8911;57.93
28;3.8825;57.93
29;3.8732;57.82
30;3.8649;57.89
31;3.8565;57.68
32;3.8484;57.72
33;3.8414;57.89
34;3.8332;57.85
35;3.8257;57.75
36;3.8175;57.51
37;3.8080;57.44
38;3.7997;57.66
39;3.7905;57.63
40;3.7812;57.53
41;3.7717;57.34
42;3.7616;57.34
43;3.7513;57.27
44;3.7410;57.39
45;3.7298;57.00
46;3.7187;56.96
47;3.7067;56.89
48;3.6952;56.92
49;3.6822;56.86
50;3.6696;56.82
51;3.6568;56.79
52;3.6434;56.75
53;3.6296;56.72
54;3.6151;56.68
55;3.6009;56.72
56;3.5871;56.48
57;3.5733;56.55
58;3.5617;56.24
59;3.5516;56.24
60;3.5417;56.17
61;3.5318;56.10
62;3.5205;56.18
63;3.5073;56.00
64;3.4912;55.96
65;3.4751;55.90
66;3.4623;56.03
67;3.4487;55.45
68;3.4349;55.65
69;3.4204;55.55
70;3.4056;55.59
71;3.3899;55.38
72;3.3734;55.38
73;3.3559;55.21
74;3.3375;55.00
75;3.3190;54.93
76;3.2998;55.00
77;3.2810;54.86
78;3.2616;54.62
79;3.2425;54.59
80;3.2235;54.52
81;3.2031;54.55
82;3.1826;54.31
83;3.1612;54.14
84;3.1391;54.03
85;3.1152;54.07
86;3.0902;53.83
87;3.0643;53.66
88;3.0370;53.69
89;3.0098;53.58
90;2.9807;53.45
91;2.9537;53.62
92;2.9199;53.17
93;2.8927;53.32
94;2.8623;53.11
95;2.8310;53.04
96;2.7961;52.93
97;2.7569;52.84
98;2.7097;52.59
99;2.6474;52.49
100;2.5682;52.35
101;2.4707;52.04
102;2.2341;51.60
