// INR21700-50S SOC vs DCIR Data
// DATA FORMAT:  Min;Voltage;DCIR
CO: 24.5
0;4.1617;39.1
1;4.1091;38.00
2;4.0904;37.36
3;4.0786;36.96
4;4.0706;36.80
5;4.0644;36.57
6;4.0598;36.32
7;4.0557;36.02
8;4.0524;35.84
9;4.0491;35.77
10;4.0464;35.74
11;4.0431;35.59
12;4.0402;35.50
13;4.0371;35.50
14;4.0338;35.41
15;4.0305;35.45
16;4.0266;35.36
17;4.0223;35.34
18;4.0169;35.27
19;4.0103;35.29
20;4.0023;35.20
21;3.9926;35.16
22;3.9814;35.13
23;3.9689;35.04
24;3.9555;35.09
25;3.9416;34.90
26;3.9284;34.97
27;3.9159;34.90
28;3.9041;34.93
29;3.8936;34.97
30;3.8841;34.93
31;3.8756;34.90
32;3.8678;34.83
33;3.8606;34.85
34;3.8538;34.86
35;3.8472;34.86
36;3.8404;34.78
37;3.8336;34.83
38;3.8261;34.78
39;3.8187;34.72
40;3.8105;34.70
41;3.8020;34.72
42;3.7933;34.68
43;3.7843;34.70
44;3.7748;34.67
45;3.7653;34.72
46;3.7556;34.72
47;3.7457;34.69
48;3.7360;34.63
49;3.7259;34.65
50;3.7158;34.65
51;3.7053;34.54
52;3.6946;34.58
53;3.6842;34.61
54;3.6735;34.51
55;3.6630;34.49
56;3.6529;34.51
57;3.6435;34.51
58;3.6372;34.62
59;3.6246;34.53
60;3.6034;34.53
61;3.5933;34.50
62;3.5830;34.59
63;3.5729;34.58
64;3.5624;34.56
65;3.5516;34.56
66;3.5403;34.58
67;3.5294;34.63
68;3.5182;34.61
69;3.5075;34.58
70;3.4972;34.56
71;3.4869;34.56
72;3.4761;34.51
73;3.4646;34.62
74;3.4524;34.56
75;3.4390;34.56
76;3.4233;34.63
77;3.4052;34.54
78;3.3858;34.51
79;3.3660;34.47
80;3.3454;34.51
81;3.3245;34.47
82;3.3027;34.56
83;3.2804;34.47
84;3.2573;34.51
85;3.2350;34.56
86;3.2093;34.51
87;3.1886;34.47
88;3.1678;34.56
89;3.1459;34.56
90;3.1234;34.56
91;3.0991;34.56
92;3.0725;34.60
93;3.0426;34.63
94;3.0084;34.68
95;2.9683;34.78
96;2.9230;34.83
97;2.8714;34.90
98;2.8114;35.08
99;2.7384;35.25
100;2.6435;35.81
101;2.5101;36.28
102;2.3158;36.53
102.14;2.0666;39.1
