kW,V
0.0,431.0
0.431,431.0
0.0,430.0
0.0,430.0
-0.43,430.0
0.0,429.0
0.0,429.0
0.429,429.0
0.428,428.0
0.856,428.0
0.856,428.0
0.856,428.0
0.854,427.0
1.284,428.0
1.704,426.0
1.708,427.0
1.708,427.0
2.13,426.0
2.13,426.0
2.13,426.0
2.55,425.0
2.55,425.0
2.968,424.0
2.968,424.0
2.968,424.0
3.392,424.0
3.384,423.0
3.376,422.0
3.807,423.0
3.798,422.0
3.798,422.0
4.22,422.0
4.22,422.0
4.62,420.0
4.21,421.0
4.62,420.0
5.04,420.0
5.028,419.0
5.04,420.0
5.028,419.0
5.434,418.0
5.447,419.0
5.866,419.0
5.852,418.0
5.852,418.0
6.27,418.0
6.27,418.0
6.672,417.0
6.672,417.0
6.656,416.0
7.055,415.0
7.055,415.0
7.072,416.0
7.47,415.0
7.47,415.0
7.47,415.0
7.488,416.0
7.885,415.0
7.885,415.0
7.847,413.0
8.26,413.0
8.26,413.0
8.26,413.0
8.652,412.0
8.673,413.0
8.652,412.0
9.064,412.0
9.042,411.0
9.064,412.0
9.064,412.0
9.453,411.0
9.453,411.0
9.84,410.0
9.84,410.0
9.84,410.0
9.816,409.0
9.816,409.0
10.25,410.0
10.608,408.0
10.634,409.0
10.608,408.0
10.634,409.0
11.016,408.0
10.989,407.0
10.989,407.0
10.989,407.0
10.962,406.0
11.774,406.0
11.368,406.0
11.368,406.0
-2.598,433.0
-1.728,432.0
-0.428,428.0
0.427,427.0
0.0,428.0
0.0,427.0
0.0,428.0
0.0,428.0
-0.0,428.0
0.0,428.0
