kW,V
0.0,2155.0
2.155,2155.0
0.0,2150.0
0.0,2150.0
-2.15,2150.0
0.0,2145.0
0.0,2145.0
2.145,2145.0
2.14,2140.0
4.28,2140.0
4.28,2140.0
4.28,2140.0
4.27,2135.0
6.42,2140.0
8.52,2130.0
8.54,2135.0
8.54,2135.0
10.649999999999999,2130.0
10.649999999999999,2130.0
10.649999999999999,2130.0
12.75,2125.0
12.75,2125.0
14.84,2120.0
14.84,2120.0
14.84,2120.0
16.96,2120.0
16.919999999999998,2115.0
16.88,2110.0
19.035,2115.0
18.990000000000002,2110.0
18.990000000000002,2110.0
21.099999999999998,2110.0
21.099999999999998,2110.0
23.1,2100.0
21.05,2105.0
23.1,2100.0
25.2,2100.0
25.139999999999997,2095.0
25.2,2100.0
25.139999999999997,2095.0
27.17,2090.0
27.235,2095.0
29.33,2095.0
29.26,2090.0
29.26,2090.0
31.349999999999998,2090.0
31.349999999999998,2090.0
33.36,2085.0
33.36,2085.0
33.28,2080.0
35.275,2075.0
35.275,2075.0
35.36,2080.0
37.35,2075.0
37.35,2075.0
37.35,2075.0
37.440000000000005,2080.0
39.425,2075.0
39.425,2075.0
39.235,2065.0
41.3,2065.0
41.3,2065.0
41.3,2065.0
43.26,2060.0
43.365,2065.0
43.26,2060.0
45.32,2060.0
45.21,2055.0
45.32,2060.0
45.32,2060.0
47.265,2055.0
47.265,2055.0
49.2,2050.0
49.2,2050.0
49.2,2050.0
49.080000000000005,2045.0
49.080000000000005,2045.0
51.25,2050.0
53.040000000000006,2040.0
53.17,2045.0
53.040000000000006,2040.0
53.17,2045.0
55.08,2040.0
54.94500000000001,2035.0
54.94500000000001,2035.0
54.94500000000001,2035.0
54.81,2030.0
58.87,2030.0
56.84,2030.0
56.84,2030.0
-12.989999999999998,2165.0
-8.64,2160.0
-2.14,2140.0
2.135,2135.0
0.0,2140.0
0.0,2135.0
0.0,2140.0
0.0,2140.0
-0.0,2140.0
0.0,2140.0
