kW,V
2.7755,2775.5
2.7755,2775.5
0.0,2769.0
2.769,2769.0
2.769,2769.0
2.769,2769.0
2.769,2769.0
5.538,2769.0
5.5249999999999995,2762.5
8.268,2756.0
8.2875,2762.5
5.538,2769.0
8.268,2756.0
11.024,2756.0
11.024,2756.0
11.024,2756.0
8.268,2756.0
5.5249999999999995,2762.5
8.2875,2762.5
11.024,2756.0
11.024,2756.0
11.024,2756.0
11.024,2756.0
11.024,2756.0
13.747500000000002,2749.5
19.201,2743.0
19.1555,2736.5
16.458,2743.0
16.458,2743.0
19.201,2743.0
16.458,2743.0
16.458,2743.0
19.1555,2736.5
19.1555,2736.5
19.1555,2736.5
21.892,2736.5
19.1555,2736.5
8.268,2756.0
-2.795,2795.0
-2.7885,2788.5
-0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
0.0,2782.0
-0.0,2782.0
-2.782,2782.0
-2.782,2782.0
-0.0,2782.0
0.0,2775.5
-2.7755,2775.5
-0.0,2775.5
-0.0,2775.5
0.0,2775.5
0.0,2769.0
0.0,2769.0
0.0,2769.0
2.769,2769.0
2.769,2769.0
5.5249999999999995,2762.5
5.512,2756.0
5.5249999999999995,2762.5
8.268,2756.0
8.268,2756.0
8.268,2756.0
8.2485,2749.5
10.998,2749.5
10.998,2749.5
13.747500000000002,2749.5
13.715,2743.0
13.715,2743.0
13.715,2743.0
16.418999999999997,2736.5
16.418999999999997,2736.5
16.418999999999997,2736.5
19.1555,2736.5
19.1555,2736.5
19.11,2730.0
19.1555,2736.5
21.84,2730.0
24.511499999999998,2723.5
24.511499999999998,2723.5
24.511499999999998,2723.5
24.511499999999998,2723.5
27.169999999999998,2717.0
27.169999999999998,2717.0
27.169999999999998,2717.0
19.11,2730.0
-0.0,2788.5
-2.782,2782.0
-0.0,2775.5
0.0,2775.5
0.0,2775.5
0.0,2775.5
0.0,2775.5
0.0,2775.5
0.0,2775.5
0.0,2782.0
0.0,2775.5
0.0,2782.0
0.0,2782.0
0.0,2775.5
0.0,2782.0
0.0,2782.0
0.0,2775.5
0.0,2775.5
0.0,2782.0
0.0,2775.5
0.0,2775.5
-0.0,2775.5
-0.0,2769.0
0.0,2769.0
0.0,2769.0
0.0,2769.0
0.0,2762.5
2.7624999999999997,2762.5
2.756,2756.0
2.7624999999999997,2762.5
2.756,2756.0
5.512,2756.0
5.499,2749.5
8.2485,2749.5
8.2485,2749.5
8.2485,2749.5
8.2485,2749.5
10.998,2749.5
10.972,2743.0
10.972,2743.0
13.715,2743.0
13.715,2743.0
13.715,2743.0
13.6825,2736.5
13.6825,2736.5
16.418999999999997,2736.5
16.418999999999997,2736.5
16.38,2730.0
16.418999999999997,2736.5
16.418999999999997,2736.5
13.6825,2736.5
13.6825,2736.5
0.0,2782.0
-2.782,2782.0
5.538,2769.0
8.268,2756.0
13.747500000000002,2749.5
10.998,2749.5
11.024,2756.0
10.998,2749.5
13.747500000000002,2749.5
13.715,2743.0
13.715,2743.0
16.418999999999997,2736.5
19.1555,2736.5
21.788,2723.5
21.788,2723.5
13.715,2743.0
13.715,2743.0
13.715,2743.0
16.458,2743.0
16.418999999999997,2736.5
10.972,2743.0
10.972,2743.0
2.769,2769.0
-2.782,2782.0
0.0,2769.0
5.538,2769.0
8.268,2756.0
2.769,2769.0
2.769,2769.0
2.769,2769.0
2.769,2769.0
5.5249999999999995,2762.5
19.201,2743.0
27.235000000000003,2723.5
29.9585,2723.5
24.453,2717.0
21.788,2723.5
21.788,2723.5
24.453,2717.0
29.887,2717.0
29.8155,2710.5
21.788,2723.5
21.788,2723.5
13.6825,2736.5
5.512,2756.0
8.268,2756.0
10.972,2743.0
13.715,2743.0
-2.7755,2775.5
-2.7755,2775.5
-0.0,2775.5
0.0,2769.0
0.0,2775.5
0.0,2775.5
0.0,2769.0
0.0,2775.5
0.0,2775.5
0.0,2769.0
0.0,2775.5
0.0,2775.5
8.268,2756.0
0.0,2769.0
-0.0,2775.5
-0.0,2775.5
0.0,2775.5
19.201,2743.0
10.998,2749.5
-0.0,2775.5
0.0,2775.5
2.769,2769.0
2.769,2769.0
2.769,2769.0
2.769,2769.0
5.5249999999999995,2762.5
5.5249999999999995,2762.5
5.5249999999999995,2762.5
2.7624999999999997,2762.5
2.769,2769.0
5.5249999999999995,2762.5
-0.0,2775.5
-0.0,2775.5
5.538,2769.0
0.0,2775.5
35.4055,2723.5
35.2365,2710.5
19.11,2730.0
21.84,2730.0
16.38,2730.0
16.38,2730.0
19.11,2730.0
16.38,2730.0
16.418999999999997,2736.5
19.11,2730.0
16.38,2730.0
19.11,2730.0
19.11,2730.0
19.11,2730.0
19.11,2730.0
21.788,2723.5
24.511499999999998,2723.5
27.169999999999998,2717.0
24.453,2717.0
24.453,2717.0
21.788,2723.5
24.453,2717.0
24.453,2717.0
21.788,2723.5
21.84,2730.0
19.11,2730.0
2.7624999999999997,2762.5
-0.0,2769.0
16.458,2743.0
27.235000000000003,2723.5
19.11,2730.0
13.6825,2736.5
13.6825,2736.5
16.418999999999997,2736.5
8.209499999999998,2736.5
8.2485,2749.5
10.972,2743.0
10.972,2743.0
10.972,2743.0
10.972,2743.0
10.972,2743.0
10.972,2743.0
8.2485,2749.5
8.2485,2749.5
8.2485,2749.5
8.2485,2749.5
8.268,2756.0
8.2485,2749.5
10.998,2749.5
10.998,2749.5
19.1555,2736.5
27.169999999999998,2717.0
43.056,2691.0
42.952,2684.5
40.365,2691.0
37.674,2691.0
40.2675,2684.5
40.365,2691.0
40.2675,2684.5
42.952,2684.5
42.952,2684.5
45.525999999999996,2678.0
40.2675,2684.5
5.499,2749.5
5.499,2749.5
10.946,2736.5
13.6825,2736.5
13.6825,2736.5
16.418999999999997,2736.5
13.6825,2736.5
16.418999999999997,2736.5
16.38,2730.0
27.169999999999998,2717.0
32.525999999999996,2710.5
43.056,2691.0
53.3,2665.0
50.7585,2671.5
50.7585,2671.5
50.635,2665.0
50.7585,2671.5
50.5115,2658.5
50.7585,2671.5
50.635,2665.0
53.17,2658.5
53.3,2665.0
53.17,2658.5
55.692,2652.0
55.692,2652.0
58.34400000000001,2652.0
32.292,2691.0
-8.346,2782.0
-8.3265,2775.5
-2.7624999999999997,2762.5
0.0,2756.0
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
-0.0,2762.5
-0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2769.0
0.0,2762.5
0.0,2762.5
-0.0,2769.0
0.0,2762.5
0.0,2762.5
0.0,2769.0
0.0,2769.0
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2762.5
0.0,2769.0
0.0,2762.5
0.0,2769.0
0.0,2769.0
0.0,2769.0
0.0,2769.0
0.0,2769.0
0.0,2769.0
0.0,2769.0
0.0,2769.0
0.0,2762.5
0.0,2769.0
0.0,2762.5
0.0,2769.0
0.0,2769.0
0.0,2769.0
16.418999999999997,2736.5
13.715,2743.0
10.972,2743.0
8.229,2743.0
10.972,2743.0
13.6825,2736.5
13.6825,2736.5
13.6825,2736.5
8.229,2743.0
10.972,2743.0
10.972,2743.0
13.6825,2736.5
10.946,2736.5
8.229,2743.0
10.972,2743.0
13.6825,2736.5
2.756,2756.0
-0.0,2769.0
-2.769,2769.0
-0.0,2769.0
0.0,2769.0
0.0,2762.5
0.0,2769.0
0.0,2762.5
0.0,2769.0
0.0,2769.0
0.0,2762.5
2.7624999999999997,2762.5
10.972,2743.0
19.11,2730.0
19.11,2730.0
16.38,2730.0
13.6825,2736.5
13.6825,2736.5
13.6825,2736.5
16.38,2730.0
21.788,2723.5
29.8155,2710.5
27.105,2710.5
24.3945,2710.5
27.105,2710.5
27.105,2710.5
27.105,2710.5
27.105,2710.5
27.04,2704.0
32.370000000000005,2697.5
37.674,2691.0
37.674,2691.0
34.983,2691.0
37.583,2684.5
37.583,2684.5
37.583,2684.5
37.583,2684.5
32.292,2691.0
34.983,2691.0
37.583,2684.5
37.674,2691.0
37.583,2684.5
37.492,2678.0
37.492,2678.0
40.2675,2684.5
40.2675,2684.5
40.17,2678.0
40.17,2678.0
48.086999999999996,2671.5
50.5115,2658.5
48.086999999999996,2671.5
47.853,2658.5
50.388,2652.0
50.5115,2658.5
50.5115,2658.5
50.635,2665.0
53.04,2652.0
53.04,2652.0
53.04,2652.0
53.04,2652.0
55.692,2652.0
53.04,2652.0
55.692,2652.0
53.04,2652.0
55.692,2652.0
55.5555,2645.5
55.692,2652.0
58.20100000000001,2645.5
60.696999999999996,2639.0
47.853,2658.5
42.744,2671.5
27.04,2704.0
8.209499999999998,2736.5
24.3945,2710.5
40.17,2678.0
42.744,2671.5
34.983,2691.0
26.975,2697.5
34.983,2691.0
27.04,2704.0
27.04,2704.0
-5.5249999999999995,2762.5
-5.538,2769.0
-2.756,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
-0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
-0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
2.756,2756.0
5.499,2749.5
0.0,2756.0
-0.0,2756.0
5.499,2749.5
10.946,2736.5
16.38,2730.0
19.0645,2723.5
-2.7624999999999997,2762.5
-2.7624999999999997,2762.5
-0.0,2762.5
0.0,2756.0
2.756,2756.0
5.499,2749.5
5.486,2743.0
5.486,2743.0
5.499,2749.5
5.499,2749.5
5.499,2749.5
8.229,2743.0
8.229,2743.0
13.65,2730.0
16.38,2730.0
8.229,2743.0
8.229,2743.0
8.209499999999998,2736.5
8.209499999999998,2736.5
8.229,2743.0
5.499,2749.5
5.499,2749.5
5.486,2743.0
5.499,2749.5
24.453,2717.0
21.736,2717.0
5.486,2743.0
5.486,2743.0
2.7495,2749.5
10.92,2730.0
13.65,2730.0
10.92,2730.0
10.946,2736.5
10.92,2730.0
16.340999999999998,2723.5
19.0645,2723.5
32.370000000000005,2697.5
19.019000000000002,2717.0
16.340999999999998,2723.5
21.736,2717.0
24.3945,2710.5
24.336000000000002,2704.0
24.336000000000002,2704.0
19.019000000000002,2717.0
13.65,2730.0
0.0,2756.0
-2.7624999999999997,2762.5
19.0645,2723.5
29.743999999999996,2704.0
27.04,2704.0
29.672500000000003,2697.5
24.336000000000002,2704.0
16.302,2717.0
16.302,2717.0
13.617500000000001,2723.5
13.65,2730.0
-2.7624999999999997,2762.5
-2.7624999999999997,2762.5
-0.0,2756.0
0.0,2756.0
0.0,2756.0
5.499,2749.5
5.499,2749.5
5.486,2743.0
10.946,2736.5
16.38,2730.0
29.743999999999996,2704.0
32.370000000000005,2697.5
18.9735,2710.5
18.9735,2710.5
24.336000000000002,2704.0
27.04,2704.0
24.336000000000002,2704.0
29.672500000000003,2697.5
29.672500000000003,2697.5
37.583,2684.5
40.17,2678.0
40.17,2678.0
40.0725,2671.5
37.492,2678.0
-2.7624999999999997,2762.5
-5.538,2769.0
-2.756,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
0.0,2756.0
2.7495,2749.5
19.0645,2723.5
29.743999999999996,2704.0
21.683999999999997,2710.5
16.340999999999998,2723.5
0.0,2749.5
-2.7624999999999997,2762.5
8.209499999999998,2736.5
10.946,2736.5
-2.7624999999999997,2762.5
5.499,2749.5
2.7495,2749.5
0.0,2756.0
2.7495,2749.5
8.229,2743.0
16.38,2730.0
13.65,2730.0
19.019000000000002,2717.0
32.292,2691.0
29.672500000000003,2697.5
27.04,2704.0
27.04,2704.0
26.975,2697.5
32.292,2691.0
32.292,2691.0
34.8985,2684.5
34.8985,2684.5
32.214000000000006,2684.5
34.8985,2684.5
37.583,2684.5
37.583,2684.5
37.492,2678.0
37.492,2678.0
29.601000000000003,2691.0
24.2775,2697.5
26.975,2697.5
26.975,2697.5
29.672500000000003,2697.5
29.672500000000003,2697.5
29.601000000000003,2691.0
32.214000000000006,2684.5
42.848,2678.0
42.64,2665.0
40.0725,2671.5
47.97,2665.0
37.492,2678.0
37.492,2678.0
-2.756,2756.0
8.170499999999999,2723.5
5.486,2743.0
29.672500000000003,2697.5
32.370000000000005,2697.5
24.336000000000002,2704.0
21.631999999999998,2704.0
29.601000000000003,2691.0
63.336,2639.0
55.692,2652.0
53.04,2652.0
47.736000000000004,2652.0
50.5115,2658.5
50.5115,2658.5
50.388,2652.0
52.910000000000004,2645.5
53.04,2652.0
53.04,2652.0
52.910000000000004,2645.5
55.419,2639.0
55.419,2639.0
55.5555,2645.5
55.5555,2645.5
58.058,2639.0
58.058,2639.0
57.915,2632.5
60.5475,2632.5
60.5475,2632.5
60.5475,2632.5
60.5475,2632.5
63.024,2626.0
63.024,2626.0
63.024,2626.0
52.910000000000004,2645.5
-13.877499999999998,2775.5
-11.049999999999999,2762.5
-2.7495,2749.5
0.0,2743.0
0.0,2743.0
0.0,2743.0
0.0,2743.0
0.0,2749.5
8.209499999999998,2736.5
53.3,2665.0
50.5115,2658.5
