I,kW,V,t1
-4.3,-1.8,433.1,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.2,-1.8,433.2,20
-4.2,-1.8,433.2,20
-4.2,-1.8,433.2,20
-4.2,-1.8,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.2,-1.8,433.2,20
-4.2,-1.9,433.2,20
-4.2,-1.9,433.2,20
-4.2,-1.9,433.2,20
-4.2,-1.9,433.2,20
-4.5,-1.9,433.2,20
-4.5,-1.9,433.2,20
-4.5,-1.9,433.2,20
-4.5,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.5,-1.9,433.3,20
-4.5,-1.9,433.3,20
-4.5,-1.9,433.3,20
-4.5,-1.9,433.3,20
-4.5,-1.9,433.2,20
-4.5,-1.9,433.2,20
-4.5,-1.9,433.2,20
-4.3,-1.9,433.2,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.2,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.3,-1.8,433.2,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.2,20
-4.2,-1.8,433.2,20
-4.2,-1.8,433.2,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.5,-1.9,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.5,-1.8,433.3,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.5,-1.9,433.3,20
-4.5,-1.9,433.3,20
-4.5,-1.9,433.3,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.3,-1.9,433.3,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.3,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.5,-1.9,433.4,20
-4.5,-1.9,433.4,20
-4.5,-1.9,433.4,20
-4.5,-1.9,433.4,20
-4.5,-1.9,433.4,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.8,433.3,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.3,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.5,-1.9,433.4,20
-4.5,-1.9,433.4,20
-4.5,-1.9,433.4,20
-4.5,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.2,-1.8,433.3,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.9,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.4,-1.9,433.5,20
-4.4,-1.9,433.5,20
-4.4,-1.9,433.5,20
-4.4,-1.9,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.4,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.8,433.4,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.2,-1.8,433.4,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.4,-1.8,433.5,20
-4.5,-1.8,433.5,20
-4.5,-1.8,433.5,20
-4.5,-1.8,433.5,20
-4.5,-1.8,433.5,20
-4.5,-1.9,433.5,20
-4.5,-1.9,433.5,20
-4.5,-1.9,433.5,20
-4.5,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.7,433.5,20
-4.3,-1.7,433.4,20
-4.3,-1.7,433.4,20
-4.3,-1.7,433.4,20
-4.3,-1.7,433.4,20
-4.4,-1.9,433.4,20
-4.4,-1.9,433.5,20
-4.4,-1.9,433.5,20
-4.4,-1.9,433.5,20
-4.4,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.3,-1.9,433.5,20
-4.4,-1.9,433.5,20
-4.4,-1.9,433.5,20
-4.4,-1.9,433.5,20
-4.4,-1.9,433.5,20
