kW,t1,t2
0.41400000000000003,67.0,68.0
1.236,67.0,68.0
2.863,67.0,68.0
4.05,67.0,68.0
0.41400000000000003,67.0,68.0
0.0,67.0,68.0
0.0,66.0,68.0
0.0,66.0,68.0
5.265,66.0,68.0
5.642,66.0,68.0
0.8300000000000001,66.0,68.0
0.0,66.0,68.0
6.464,64.0,68.0
5.239,64.0,66.0
6.4,64.0,66.0
4.04,66.0,66.0
0.0,66.0,66.0
0.0,66.0,66.0
4.05,66.0,66.0
5.226,66.0,68.0
4.848,66.0,68.0
5.213,66.0,68.0
7.581,66.0,68.0
6.384,66.0,68.0
7.543,66.0,68.0
8.69,66.0,68.0
9.8,66.0,68.0
0.0,66.0,68.0
0.0,66.0,68.0
1.6320000000000001,66.0,68.0
1.6320000000000001,66.0,68.0
2.035,66.0,68.0
0.0,66.0,68.0
4.824,66.0,68.0
5.985,66.0,68.0
7.128,66.0,68.0
8.295,66.0,68.0
1.218,66.0,68.0
9.039,66.0,68.0
9.384,66.0,68.0
5.572,66.0,68.0
0.0,66.0,68.0
2.424,66.0,68.0
0.8140000000000001,66.0,68.0
2.442,66.0,68.0
0.0,66.0,68.0
4.8,66.0,68.0
6.352,66.0,68.0
0.0,66.0,68.0
3.636,66.0,68.0
5.187,66.0,68.0
6.336,66.0,68.0
7.88,66.0,68.0
0.40800000000000003,66.0,68.0
0.8200000000000001,66.0,68.0
4.4,66.0,68.0
5.174,66.0,68.0
3.6270000000000002,64.0,68.0
0.8200000000000001,64.0,68.0
7.146,64.0,68.0
5.955,66.0,68.0
6.732,66.0,68.0
7.86,66.0,68.0
8.993,66.0,68.0
10.114,66.0,68.0
2.0100000000000002,66.0,68.0
0.40700000000000003,68.0,68.0
3.216,68.0,68.0
3.609,68.0,68.0
0.40800000000000003,66.0,68.0
5.1610000000000005,66.0,68.0
6.336,66.0,68.0
7.486,66.0,68.0
8.232,66.0,64.0
4.764,66.0,64.0
7.4670000000000005,66.0,64.0
9.700000000000001,66.0,64.0
10.422,66.0,64.0
6.288,66.0,64.0
1.212,66.0,68.0
0.0,66.0,68.0
0.40700000000000003,66.0,68.0
4.378,66.0,68.0
5.925,66.0,68.0
3.192,66.0,68.0
0.81,66.0,68.0
0.0,66.0,68.0
5.174,66.0,68.0
4.764,66.0,68.0
5.925,66.0,68.0
7.448,66.0,68.0
0.0,66.0,68.0
2.015,66.0,68.0
4.776,66.0,68.0
0.8180000000000001,66.0,68.0
5.53,66.0,68.0
3.208,66.0,68.0
5.91,66.0,68.0
7.074,66.0,68.0
7.82,66.0,68.0
9.312,66.0,68.0
10.062,66.0,68.0
0.808,66.0,68.0
0.0,66.0,68.0
0.0,66.0,68.0
1.612,68.0,68.0
4.752,68.0,69.0
0.0,68.0,69.0
5.925,68.0,69.0
7.074,68.0,69.0
7.84,68.0,69.0
3.184,64.0,69.0
8.924,64.0,69.0
9.675,64.0,69.0
10.78,68.0,69.0
1.203,68.0,68.0
0.0,68.0,68.0
0.0,66.0,68.0
0.0,66.0,68.0
0.0,66.0,68.0
0.0,66.0,68.0
0.0,66.0,68.0
0.0,66.0,68.0
0.0,66.0,68.0
0.0,66.0,69.0
0.0,66.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,68.0,69.0
0.0,66.0,69.0
0.0,66.0,69.0
0.0,66.0,69.0
0.0,66.0,69.0
0.40900000000000003,66.0,66.0
0.40800000000000003,66.0,66.0
0.40800000000000003,68.0,66.0
0.40800000000000003,68.0,69.0
0.8160000000000001,68.0,69.0
0.8160000000000001,66.0,69.0
