kW,V
1.0675,1067.5
1.0675,1067.5
0.0,1065.0
1.065,1065.0
1.065,1065.0
1.065,1065.0
1.065,1065.0
2.13,1065.0
2.125,1062.5
3.18,1060.0
3.1875,1062.5
2.13,1065.0
3.18,1060.0
4.24,1060.0
4.24,1060.0
4.24,1060.0
3.18,1060.0
2.125,1062.5
3.1875,1062.5
4.24,1060.0
4.24,1060.0
4.24,1060.0
4.24,1060.0
4.24,1060.0
5.2875000000000005,1057.5
7.385000000000001,1055.0
7.3675,1052.5
6.33,1055.0
6.33,1055.0
7.385000000000001,1055.0
6.33,1055.0
6.33,1055.0
7.3675,1052.5
7.3675,1052.5
7.3675,1052.5
8.42,1052.5
7.3675,1052.5
3.18,1060.0
-1.075,1075.0
-1.0725,1072.5
-0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
0.0,1070.0
-0.0,1070.0
-1.07,1070.0
-1.07,1070.0
-0.0,1070.0
0.0,1067.5
-1.0675,1067.5
-0.0,1067.5
-0.0,1067.5
0.0,1067.5
0.0,1065.0
0.0,1065.0
0.0,1065.0
1.065,1065.0
1.065,1065.0
2.125,1062.5
2.12,1060.0
2.125,1062.5
3.18,1060.0
3.18,1060.0
3.18,1060.0
3.1725,1057.5
4.2299999999999995,1057.5
4.2299999999999995,1057.5
5.2875000000000005,1057.5
5.2749999999999995,1055.0
5.2749999999999995,1055.0
5.2749999999999995,1055.0
6.3149999999999995,1052.5
6.3149999999999995,1052.5
6.3149999999999995,1052.5
7.3675,1052.5
7.3675,1052.5
7.35,1050.0
7.3675,1052.5
8.4,1050.0
9.4275,1047.5
9.4275,1047.5
9.4275,1047.5
9.4275,1047.5
10.45,1045.0
10.45,1045.0
10.45,1045.0
7.35,1050.0
-0.0,1072.5
-1.07,1070.0
-0.0,1067.5
0.0,1067.5
0.0,1067.5
0.0,1067.5
0.0,1067.5
0.0,1067.5
0.0,1067.5
0.0,1070.0
0.0,1067.5
0.0,1070.0
0.0,1070.0
0.0,1067.5
0.0,1070.0
0.0,1070.0
0.0,1067.5
0.0,1067.5
0.0,1070.0
0.0,1067.5
0.0,1067.5
-0.0,1067.5
-0.0,1065.0
0.0,1065.0
0.0,1065.0
0.0,1065.0
0.0,1062.5
1.0625,1062.5
1.06,1060.0
1.0625,1062.5
1.06,1060.0
2.12,1060.0
2.1149999999999998,1057.5
3.1725,1057.5
3.1725,1057.5
3.1725,1057.5
3.1725,1057.5
4.2299999999999995,1057.5
4.22,1055.0
4.22,1055.0
5.2749999999999995,1055.0
5.2749999999999995,1055.0
5.2749999999999995,1055.0
5.2625,1052.5
5.2625,1052.5
6.3149999999999995,1052.5
6.3149999999999995,1052.5
6.3,1050.0
6.3149999999999995,1052.5
6.3149999999999995,1052.5
5.2625,1052.5
5.2625,1052.5
0.0,1070.0
-1.07,1070.0
2.13,1065.0
3.18,1060.0
5.2875000000000005,1057.5
4.2299999999999995,1057.5
4.24,1060.0
4.2299999999999995,1057.5
5.2875000000000005,1057.5
5.2749999999999995,1055.0
5.2749999999999995,1055.0
6.3149999999999995,1052.5
7.3675,1052.5
8.379999999999999,1047.5
8.379999999999999,1047.5
5.2749999999999995,1055.0
5.2749999999999995,1055.0
5.2749999999999995,1055.0
6.33,1055.0
6.3149999999999995,1052.5
4.22,1055.0
4.22,1055.0
1.065,1065.0
-1.07,1070.0
0.0,1065.0
2.13,1065.0
3.18,1060.0
1.065,1065.0
1.065,1065.0
1.065,1065.0
1.065,1065.0
2.125,1062.5
7.385000000000001,1055.0
10.475000000000001,1047.5
11.5225,1047.5
9.405,1045.0
8.379999999999999,1047.5
8.379999999999999,1047.5
9.405,1045.0
11.495,1045.0
11.4675,1042.5
8.379999999999999,1047.5
8.379999999999999,1047.5
5.2625,1052.5
2.12,1060.0
3.18,1060.0
4.22,1055.0
5.2749999999999995,1055.0
-1.0675,1067.5
-1.0675,1067.5
-0.0,1067.5
0.0,1065.0
0.0,1067.5
0.0,1067.5
0.0,1065.0
0.0,1067.5
0.0,1067.5
0.0,1065.0
0.0,1067.5
0.0,1067.5
3.18,1060.0
0.0,1065.0
-0.0,1067.5
-0.0,1067.5
0.0,1067.5
7.385000000000001,1055.0
4.2299999999999995,1057.5
-0.0,1067.5
0.0,1067.5
1.065,1065.0
1.065,1065.0
1.065,1065.0
1.065,1065.0
2.125,1062.5
2.125,1062.5
2.125,1062.5
1.0625,1062.5
1.065,1065.0
2.125,1062.5
-0.0,1067.5
-0.0,1067.5
2.13,1065.0
0.0,1067.5
13.6175,1047.5
13.5525,1042.5
7.35,1050.0
8.4,1050.0
6.3,1050.0
6.3,1050.0
7.35,1050.0
6.3,1050.0
6.3149999999999995,1052.5
7.35,1050.0
6.3,1050.0
7.35,1050.0
7.35,1050.0
7.35,1050.0
7.35,1050.0
8.379999999999999,1047.5
9.4275,1047.5
10.45,1045.0
9.405,1045.0
9.405,1045.0
8.379999999999999,1047.5
9.405,1045.0
9.405,1045.0
8.379999999999999,1047.5
8.4,1050.0
7.35,1050.0
1.0625,1062.5
-0.0,1065.0
6.33,1055.0
10.475000000000001,1047.5
7.35,1050.0
5.2625,1052.5
5.2625,1052.5
6.3149999999999995,1052.5
3.1574999999999998,1052.5
3.1725,1057.5
4.22,1055.0
4.22,1055.0
4.22,1055.0
4.22,1055.0
4.22,1055.0
4.22,1055.0
3.1725,1057.5
3.1725,1057.5
3.1725,1057.5
3.1725,1057.5
3.18,1060.0
3.1725,1057.5
4.2299999999999995,1057.5
4.2299999999999995,1057.5
7.3675,1052.5
10.45,1045.0
16.56,1035.0
16.52,1032.5
15.525,1035.0
14.49,1035.0
15.4875,1032.5
15.525,1035.0
15.4875,1032.5
16.52,1032.5
16.52,1032.5
17.509999999999998,1030.0
15.4875,1032.5
2.1149999999999998,1057.5
2.1149999999999998,1057.5
4.21,1052.5
5.2625,1052.5
5.2625,1052.5
6.3149999999999995,1052.5
5.2625,1052.5
6.3149999999999995,1052.5
6.3,1050.0
10.45,1045.0
12.509999999999998,1042.5
16.56,1035.0
20.5,1025.0
19.5225,1027.5
19.5225,1027.5
19.475,1025.0
19.5225,1027.5
19.4275,1022.5
19.5225,1027.5
19.475,1025.0
20.45,1022.5
20.5,1025.0
20.45,1022.5
21.419999999999998,1020.0
21.419999999999998,1020.0
22.44,1020.0
12.42,1035.0
-3.21,1070.0
-3.2024999999999997,1067.5
-1.0625,1062.5
0.0,1060.0
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
-0.0,1062.5
-0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1065.0
0.0,1062.5
0.0,1062.5
-0.0,1065.0
0.0,1062.5
0.0,1062.5
0.0,1065.0
0.0,1065.0
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1062.5
0.0,1065.0
0.0,1062.5
0.0,1065.0
0.0,1065.0
0.0,1065.0
0.0,1065.0
