kW,V
1.281,1281.0
1.281,1281.0
0.0,1278.0
1.278,1278.0
1.278,1278.0
1.278,1278.0
1.278,1278.0
2.556,1278.0
2.55,1275.0
3.816,1272.0
3.8249999999999997,1275.0
2.556,1278.0
3.816,1272.0
5.088,1272.0
5.088,1272.0
5.088,1272.0
3.816,1272.0
2.55,1275.0
3.8249999999999997,1275.0
5.088,1272.0
5.088,1272.0
5.088,1272.0
5.088,1272.0
5.088,1272.0
6.345000000000001,1269.0
8.862,1266.0
8.841000000000001,1263.0
7.596,1266.0
7.596,1266.0
8.862,1266.0
7.596,1266.0
7.596,1266.0
8.841000000000001,1263.0
8.841000000000001,1263.0
8.841000000000001,1263.0
10.104,1263.0
8.841000000000001,1263.0
3.816,1272.0
-1.29,1290.0
-1.287,1287.0
-0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
0.0,1284.0
-0.0,1284.0
-1.284,1284.0
-1.284,1284.0
-0.0,1284.0
0.0,1281.0
-1.281,1281.0
-0.0,1281.0
-0.0,1281.0
0.0,1281.0
0.0,1278.0
0.0,1278.0
0.0,1278.0
1.278,1278.0
1.278,1278.0
2.55,1275.0
2.544,1272.0
2.55,1275.0
3.816,1272.0
3.816,1272.0
3.816,1272.0
3.8069999999999995,1269.0
5.076,1269.0
5.076,1269.0
6.345000000000001,1269.0
6.33,1266.0
6.33,1266.0
6.33,1266.0
7.577999999999999,1263.0
7.577999999999999,1263.0
7.577999999999999,1263.0
8.841000000000001,1263.0
8.841000000000001,1263.0
8.82,1260.0
8.841000000000001,1263.0
10.08,1260.0
11.312999999999999,1257.0
11.312999999999999,1257.0
11.312999999999999,1257.0
11.312999999999999,1257.0
12.54,1254.0
12.54,1254.0
12.54,1254.0
8.82,1260.0
-0.0,1287.0
-1.284,1284.0
-0.0,1281.0
0.0,1281.0
0.0,1281.0
0.0,1281.0
0.0,1281.0
0.0,1281.0
0.0,1281.0
0.0,1284.0
0.0,1281.0
0.0,1284.0
0.0,1284.0
0.0,1281.0
0.0,1284.0
0.0,1284.0
0.0,1281.0
0.0,1281.0
0.0,1284.0
0.0,1281.0
0.0,1281.0
-0.0,1281.0
-0.0,1278.0
0.0,1278.0
0.0,1278.0
0.0,1278.0
0.0,1275.0
1.275,1275.0
1.272,1272.0
1.275,1275.0
1.272,1272.0
2.544,1272.0
2.538,1269.0
3.8069999999999995,1269.0
3.8069999999999995,1269.0
3.8069999999999995,1269.0
3.8069999999999995,1269.0
5.076,1269.0
5.064,1266.0
5.064,1266.0
6.33,1266.0
6.33,1266.0
6.33,1266.0
6.3149999999999995,1263.0
6.3149999999999995,1263.0
7.577999999999999,1263.0
7.577999999999999,1263.0
7.5600000000000005,1260.0
7.577999999999999,1263.0
7.577999999999999,1263.0
6.3149999999999995,1263.0
6.3149999999999995,1263.0
0.0,1284.0
-1.284,1284.0
2.556,1278.0
3.816,1272.0
6.345000000000001,1269.0
5.076,1269.0
5.088,1272.0
5.076,1269.0
6.345000000000001,1269.0
6.33,1266.0
6.33,1266.0
7.577999999999999,1263.0
8.841000000000001,1263.0
10.056,1257.0
10.056,1257.0
6.33,1266.0
6.33,1266.0
6.33,1266.0
7.596,1266.0
7.577999999999999,1263.0
5.064,1266.0
5.064,1266.0
1.278,1278.0
-1.284,1284.0
0.0,1278.0
2.556,1278.0
3.816,1272.0
1.278,1278.0
1.278,1278.0
1.278,1278.0
1.278,1278.0
2.55,1275.0
8.862,1266.0
12.57,1257.0
13.827,1257.0
11.286,1254.0
10.056,1257.0
10.056,1257.0
11.286,1254.0
13.794,1254.0
13.761,1251.0
10.056,1257.0
10.056,1257.0
6.3149999999999995,1263.0
2.544,1272.0
3.816,1272.0
5.064,1266.0
6.33,1266.0
-1.281,1281.0
-1.281,1281.0
-0.0,1281.0
0.0,1278.0
0.0,1281.0
0.0,1281.0
0.0,1278.0
0.0,1281.0
0.0,1281.0
0.0,1278.0
0.0,1281.0
0.0,1281.0
3.816,1272.0
0.0,1278.0
-0.0,1281.0
-0.0,1281.0
0.0,1281.0
8.862,1266.0
5.076,1269.0
-0.0,1281.0
0.0,1281.0
1.278,1278.0
1.278,1278.0
1.278,1278.0
1.278,1278.0
2.55,1275.0
2.55,1275.0
2.55,1275.0
1.275,1275.0
1.278,1278.0
2.55,1275.0
-0.0,1281.0
-0.0,1281.0
2.556,1278.0
0.0,1281.0
16.341,1257.0
16.263,1251.0
8.82,1260.0
10.08,1260.0
7.5600000000000005,1260.0
7.5600000000000005,1260.0
8.82,1260.0
7.5600000000000005,1260.0
7.577999999999999,1263.0
8.82,1260.0
7.5600000000000005,1260.0
8.82,1260.0
8.82,1260.0
8.82,1260.0
8.82,1260.0
10.056,1257.0
11.312999999999999,1257.0
12.54,1254.0
11.286,1254.0
11.286,1254.0
10.056,1257.0
11.286,1254.0
11.286,1254.0
10.056,1257.0
10.08,1260.0
8.82,1260.0
1.275,1275.0
-0.0,1278.0
7.596,1266.0
12.57,1257.0
8.82,1260.0
6.3149999999999995,1263.0
6.3149999999999995,1263.0
7.577999999999999,1263.0
3.7889999999999997,1263.0
3.8069999999999995,1269.0
5.064,1266.0
5.064,1266.0
5.064,1266.0
5.064,1266.0
5.064,1266.0
5.064,1266.0
3.8069999999999995,1269.0
3.8069999999999995,1269.0
3.8069999999999995,1269.0
3.8069999999999995,1269.0
3.816,1272.0
3.8069999999999995,1269.0
5.076,1269.0
5.076,1269.0
8.841000000000001,1263.0
12.54,1254.0
19.872,1242.0
19.823999999999998,1239.0
18.63,1242.0
17.388,1242.0
18.585,1239.0
18.63,1242.0
18.585,1239.0
19.823999999999998,1239.0
19.823999999999998,1239.0
21.012,1236.0
18.585,1239.0
2.538,1269.0
2.538,1269.0
5.052,1263.0
6.3149999999999995,1263.0
6.3149999999999995,1263.0
7.577999999999999,1263.0
6.3149999999999995,1263.0
7.577999999999999,1263.0
7.5600000000000005,1260.0
12.54,1254.0
15.011999999999999,1251.0
19.872,1242.0
24.599999999999998,1230.0
23.427,1233.0
23.427,1233.0
23.37,1230.0
23.427,1233.0
23.313,1227.0
23.427,1233.0
23.37,1230.0
24.54,1227.0
24.599999999999998,1230.0
24.54,1227.0
25.704,1224.0
25.704,1224.0
26.928000000000004,1224.0
14.904,1242.0
-3.8520000000000003,1284.0
-3.843,1281.0
-1.275,1275.0
0.0,1272.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
-0.0,1275.0
-0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1278.0
0.0,1275.0
0.0,1275.0
-0.0,1278.0
0.0,1275.0
0.0,1275.0
0.0,1278.0
0.0,1278.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1275.0
0.0,1278.0
0.0,1275.0
0.0,1278.0
0.0,1278.0
0.0,1278.0
0.0,1278.0
0.0,1278.0
0.0,1278.0
0.0,1278.0
0.0,1278.0
0.0,1275.0
0.0,1278.0
0.0,1275.0
0.0,1278.0
0.0,1278.0
0.0,1278.0
7.577999999999999,1263.0
6.33,1266.0
5.064,1266.0
3.798,1266.0
5.064,1266.0
6.3149999999999995,1263.0
6.3149999999999995,1263.0
6.3149999999999995,1263.0
3.798,1266.0
5.064,1266.0
5.064,1266.0
6.3149999999999995,1263.0
5.052,1263.0
3.798,1266.0
5.064,1266.0
6.3149999999999995,1263.0
1.272,1272.0
-0.0,1278.0
-1.278,1278.0
-0.0,1278.0
0.0,1278.0
0.0,1275.0
0.0,1278.0
0.0,1275.0
0.0,1278.0
0.0,1278.0
0.0,1275.0
1.275,1275.0
5.064,1266.0
8.82,1260.0
8.82,1260.0
7.5600000000000005,1260.0
6.3149999999999995,1263.0
6.3149999999999995,1263.0
6.3149999999999995,1263.0
7.5600000000000005,1260.0
10.056,1257.0
13.761,1251.0
12.51,1251.0
11.259,1251.0
12.51,1251.0
12.51,1251.0
12.51,1251.0
12.51,1251.0
12.48,1248.0
14.940000000000001,1245.0
17.388,1242.0
17.388,1242.0
16.146,1242.0
17.346,1239.0
