kW,V,I,t1
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.2,0.0,31.0
0.0,421.2,0.0,31.0
0.0,421.3,0.0,31.0
0.0,421.3,0.0,31.0
0.0,421.3,0.0,31.0
0.0,421.3,0.0,31.0
0.0,421.3,0.0,31.0
0.0,421.3,0.0,31.0
0.0,421.3,0.0,31.0
0.0,421.3,0.0,31.0
0.0,421.4,0.0,31.0
0.0,421.4,0.0,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
0.12639,421.3,0.3,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.08426,421.3,0.2,31.0
0.12639,421.3,0.3,31.0
