kW,V
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,415.0
0.0,414.0
0.0,415.0
-0.0,414.0
-0.0,414.0
-0.0,414.0
-0.414,414.0
-0.414,414.0
-0.0,414.0
-0.0,414.0
-0.0,414.0
-0.0,413.0
-0.0,413.0
-0.0,414.0
0.0,413.0
0.0,413.0
0.0,413.0
0.413,413.0
0.412,412.0
0.413,413.0
0.412,412.0
0.413,413.0
0.412,412.0
0.412,412.0
0.412,412.0
0.824,412.0
0.824,412.0
0.824,412.0
0.824,412.0
0.824,412.0
0.824,412.0
0.824,412.0
1.233,411.0
1.233,411.0
1.233,411.0
1.233,411.0
0.824,412.0
0.822,411.0
1.233,411.0
1.233,411.0
1.233,411.0
1.233,411.0
1.233,411.0
1.233,411.0
1.233,411.0
1.233,411.0
1.233,411.0
1.644,411.0
1.233,411.0
1.233,411.0
1.233,411.0
1.644,411.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
1.64,410.0
2.05,410.0
2.05,410.0
2.05,410.0
2.045,409.0
1.64,410.0
2.045,409.0
2.05,410.0
2.05,410.0
2.045,409.0
2.045,409.0
2.045,409.0
2.045,409.0
2.454,409.0
2.454,409.0
2.454,409.0
2.045,409.0
2.454,409.0
2.045,409.0
2.454,409.0
2.045,409.0
2.454,409.0
2.045,409.0
2.05,410.0
2.045,409.0
2.045,409.0
2.045,409.0
2.045,409.0
2.454,409.0
2.454,409.0
2.454,409.0
2.454,409.0
2.454,409.0
2.856,408.0
2.849,407.0
3.256,407.0
4.06,406.0
4.455,405.0
4.455,405.0
4.06,406.0
3.248,406.0
3.654,406.0
4.06,406.0
4.848,404.0
5.239,403.0
4.848,404.0
3.248,406.0
3.654,406.0
3.248,406.0
2.849,407.0
2.448,408.0
2.856,408.0
3.248,406.0
2.856,408.0
2.849,407.0
2.849,407.0
3.256,407.0
2.849,407.0
2.849,407.0
3.654,406.0
4.06,406.0
3.248,406.0
3.248,406.0
3.248,406.0
3.654,406.0
3.645,405.0
4.455,405.0
4.04,404.0
4.05,405.0
3.645,405.0
3.654,406.0
3.654,406.0
4.06,406.0
4.05,405.0
4.05,405.0
4.06,406.0
3.645,405.0
3.645,405.0
3.248,406.0
3.248,406.0
3.248,406.0
3.256,407.0
3.256,407.0
2.849,407.0
0.412,412.0
0.0,412.0
-0.413,413.0
-0.0,412.0
0.0,413.0
0.0,412.0
0.0,412.0
0.412,412.0
1.64,410.0
2.448,408.0
3.654,406.0
4.05,405.0
4.444,404.0
4.444,404.0
4.04,404.0
3.645,405.0
4.444,404.0
4.836,403.0
4.836,403.0
4.836,403.0
5.226,402.0
5.628,402.0
5.614,401.0
5.614,401.0
6.0,400.0
6.015,401.0
5.614,401.0
5.614,401.0
5.614,401.0
6.0,400.0
6.8,400.0
6.8,400.0
6.4,400.0
6.384,399.0
6.783,399.0
6.783,399.0
6.766,398.0
7.164,398.0
6.4,400.0
6.384,399.0
6.384,399.0
6.384,399.0
6.384,399.0
6.4,400.0
6.4,400.0
6.783,399.0
7.164,398.0
7.164,398.0
6.783,399.0
7.164,398.0
7.562,398.0
7.94,397.0
8.316,396.0
7.94,397.0
7.94,397.0
8.295,395.0
8.316,396.0
9.062,394.0
8.69,395.0
9.062,394.0
9.062,394.0
9.062,394.0
9.456,394.0
9.432,393.0
9.432,393.0
10.192,392.0
9.456,394.0
9.825,393.0
9.825,393.0
9.825,393.0
9.825,393.0
10.557,391.0
10.192,392.0
10.192,392.0
10.192,392.0
10.557,391.0
10.557,391.0
10.557,391.0
10.948,391.0
10.948,391.0
10.92,390.0
11.31,390.0
11.31,390.0
11.31,390.0
11.67,389.0
11.67,389.0
11.64,388.0
11.67,389.0
11.64,388.0
12.028,388.0
11.281,389.0
11.67,389.0
11.67,389.0
10.92,390.0
8.646,393.0
2.821,403.0
-2.478,413.0
-1.233,411.0
-0.0,410.0
0.0,409.0
0.0,409.0
0.0,409.0
0.0,409.0
0.0,409.0
0.0,409.0
0.0,409.0
0.408,408.0
0.0,410.0
3.24,405.0
4.02,402.0
4.422,402.0
3.232,404.0
2.43,405.0
2.424,404.0
2.025,405.0
0.816,408.0
5.614,401.0
4.411,401.0
3.627,403.0
3.224,403.0
3.224,403.0
2.424,404.0
2.424,404.0
2.424,404.0
2.025,405.0
1.624,406.0
2.03,406.0
2.03,406.0
2.03,406.0
2.03,406.0
2.03,406.0
2.43,405.0
2.828,404.0
2.828,404.0
3.627,403.0
4.03,403.0
4.02,402.0
4.812,401.0
4.812,401.0
4.8,400.0
4.8,400.0
4.812,401.0
4.812,401.0
5.2,400.0
5.2,400.0
5.6,400.0
5.586,399.0
4.8,400.0
4.812,401.0
4.411,401.0
4.8,400.0
4.411,401.0
4.812,401.0
4.8,400.0
5.2,400.0
5.586,399.0
5.97,398.0
5.985,399.0
6.368,398.0
6.749,397.0
7.128,396.0
7.505,395.0
7.9,395.0
7.486,394.0
7.505,395.0
7.128,396.0
6.732,396.0
6.352,397.0
6.336,396.0
6.352,397.0
6.368,398.0
6.352,397.0
5.572,398.0
5.97,398.0
5.97,398.0
5.97,398.0
5.97,398.0
5.97,398.0
6.368,398.0
6.352,397.0
6.368,398.0
6.352,397.0
6.732,396.0
6.732,396.0
6.732,396.0
6.732,396.0
6.749,397.0
6.749,397.0
7.128,396.0
7.128,396.0
7.505,395.0
7.505,395.0
7.9,395.0
7.88,394.0
7.9,395.0
7.9,395.0
7.88,394.0
8.646,393.0
9.016,392.0
9.016,392.0
8.624,392.0
8.253,393.0
7.88,394.0
7.128,396.0
6.732,396.0
0.812,406.0
-1.644,411.0
-0.818,409.0
0.0,408.0
0.0,408.0
0.0,408.0
0.0,408.0
0.0,408.0
0.0,408.0
0.0,408.0
0.0,408.0
0.0,408.0
0.408,408.0
1.624,406.0
1.624,406.0
1.218,406.0
0.408,408.0
0.408,408.0
0.408,408.0
0.408,408.0
-0.0,409.0
0.0,409.0
0.0,409.0
0.0,409.0
0.0,409.0
0.0,409.0
0.0,409.0
0.0,409.0
0.409,409.0
0.408,408.0
0.816,408.0
0.816,408.0
0.816,408.0
1.624,406.0
2.43,405.0
2.025,405.0
2.025,405.0
0.812,406.0
1.221,407.0
1.218,406.0
1.218,406.0
1.221,407.0
1.218,406.0
1.624,406.0
1.624,406.0
1.624,406.0
1.221,407.0
2.025,405.0
2.025,405.0
2.025,405.0
2.828,404.0
3.224,403.0
4.02,402.0
4.411,401.0
4.8,400.0
5.586,399.0
5.572,398.0
5.572,398.0
5.572,398.0
5.572,398.0
5.955,397.0
5.955,397.0
5.955,397.0
5.955,397.0
6.352,397.0
6.352,397.0
6.336,396.0
6.732,396.0
6.732,396.0
5.572,398.0
3.6,400.0
2.814,402.0
3.216,402.0
2.821,403.0
2.821,403.0
2.821,403.0
2.821,403.0
2.821,403.0
2.821,403.0
2.424,404.0
2.424,404.0
3.224,403.0
4.411,401.0
4.4,400.0
3.618,402.0
3.618,402.0
4.8,400.0
4.4,400.0
4.4,400.0
3.609,401.0
3.609,401.0
3.618,402.0
4.02,402.0
4.4,400.0
4.4,400.0
4.4,400.0
4.01,401.0
3.618,402.0
3.216,402.0
3.216,402.0
3.224,403.0
2.821,403.0
2.821,403.0
2.828,404.0
2.821,403.0
2.821,403.0
2.821,403.0
2.025,405.0
0.812,406.0
-0.41,410.0
-0.409,409.0
-0.0,408.0
0.0,408.0
0.0,409.0
0.0,409.0
0.408,408.0
0.814,407.0
2.424,404.0
4.02,402.0
4.8,400.0
5.187,399.0
5.955,397.0
5.187,399.0
5.572,398.0
4.788,399.0
4.788,399.0
5.174,398.0
5.174,398.0
5.174,398.0
5.174,398.0
5.572,398.0
5.558,397.0
5.558,397.0
5.955,397.0
5.955,397.0
6.336,396.0
6.352,397.0
6.336,396.0
6.336,396.0
6.732,396.0
6.715,395.0
6.715,395.0
6.715,395.0
6.732,396.0
7.11,395.0
7.11,395.0
7.092,394.0
7.11,395.0
7.467,393.0
7.486,394.0
7.486,394.0
7.86,393.0
7.86,393.0
8.232,392.0
8.232,392.0
8.253,393.0
8.253,393.0
8.232,392.0
8.232,392.0
8.624,392.0
8.602,391.0
8.624,392.0
8.624,392.0
8.624,392.0
8.97,390.0
9.016,392.0
9.36,390.0
9.36,390.0
9.336,389.0
9.725,389.0
9.75,390.0
9.725,389.0
9.725,389.0
9.725,389.0
10.088,388.0
10.114,389.0
10.476,388.0
10.476,388.0
10.476,388.0
10.476,388.0
10.476,388.0
10.476,388.0
10.836,387.0
10.836,387.0
10.836,387.0
10.836,387.0
10.836,387.0
10.836,387.0
10.864,388.0
10.836,387.0
10.476,388.0
10.476,388.0
10.836,387.0
10.864,388.0
10.476,388.0
10.476,388.0
10.088,388.0
8.97,390.0
9.36,390.0
9.36,390.0
9.36,390.0
6.32,395.0
-2.05,410.0
-1.632,408.0
-0.0,407.0
0.0,406.0
0.0,406.0
0.0,406.0
0.0,406.0
0.0,407.0
0.0,406.0
0.0,407.0
0.406,406.0
0.81,405.0
0.406,406.0
0.812,406.0
2.02,404.0
3.6,400.0
3.208,401.0
2.412,402.0
2.01,402.0
1.612,403.0
2.814,402.0
2.412,402.0
2.412,402.0
2.412,402.0
2.412,402.0
2.412,402.0
1.612,403.0
2.015,403.0
2.015,403.0
2.015,403.0
2.015,403.0
2.015,403.0
2.015,403.0
1.212,404.0
1.215,405.0
2.412,402.0
2.814,402.0
2.412,402.0
2.814,402.0
3.208,401.0
3.208,401.0
3.2,400.0
3.208,401.0
3.208,401.0
3.208,401.0
3.6,400.0
3.6,400.0
3.2,400.0
3.6,400.0
3.208,401.0
3.6,400.0
3.99,399.0
3.99,399.0
4.0,400.0
4.389,399.0
4.389,399.0
4.389,399.0
4.389,399.0
4.776,398.0
5.558,397.0
6.32,395.0
