kW,V,I,t
0.0,0.3,0.0,0.0
0.0,0.3,0.0,1.0
0.0,0.3,0.0,2.0
0.0,0.4,0.0,3.0
0.0,0.4,0.0,4.0
0.0,0.3,0.0,5.0
0.0,0.3,0.0,6.0
0.0,0.4,0.0,7.0
0.0,0.4,0.0,8.0
0.0,0.4,0.0,9.0
0.0,0.4,0.0,10.0
0.0,0.4,0.0,11.0
0.0,305.7,0.0,12.0
0.0,379.7,0.0,13.0
0.0,379.7,0.0,14.0
0.0,379.5,0.0,15.0
0.0,379.3,0.0,16.0
0.0,379.3,0.0,17.0
0.0,379.7,0.0,18.0
0.0,379.7,0.0,19.0
0.0,379.5,0.0,20.0
0.0,379.4,0.0,21.0
0.0,379.7,0.0,22.0
0.0,379.4,0.0,23.0
0.0,379.7,0.0,24.0
0.0,379.5,0.0,25.0
0.0,379.4,0.0,26.0
-0.0,378.5,-0.0,27.0
0.0,377.8,0.0,28.0
0.37739999999999996,377.4,1.0,29.0
0.37760000000000005,377.6,1.0,30.0
0.37760000000000005,377.6,1.0,31.0
0.3772,377.2,1.0,32.0
0.754,377.0,2.0,33.0
1.1271,375.7,3.0,34.0
2.9704,371.3,8.0,35.0
4.4256,368.8,12.0,36.0
5.1394,367.1,14.0,37.0
-0.7567999999999999,378.4,-2.0,38.0
3.694,369.4,10.0,39.0
2.5991,371.3,7.0,40.0
0.0,377.2,0.0,41.0
0.0,377.3,0.0,42.0
1.5,375.0,4.0,43.0
5.129599999999999,366.4,14.0,44.0
1.4895999999999998,372.4,4.0,45.0
0.0,376.3,0.0,46.0
0.376,376.0,1.0,47.0
0.37589999999999996,375.9,1.0,48.0
3.693,369.3,10.0,49.0
6.1676,362.8,17.0,50.0
7.5579,359.9,21.0,51.0
8.572799999999999,357.2,24.0,52.0
9.926,354.5,28.0,53.0
10.918199999999999,352.2,31.0,54.0
11.8728,349.2,34.0,55.0
12.517199999999999,347.7,36.0,56.0
13.451099999999999,344.9,39.0,57.0
14.054800000000002,342.8,41.0,58.0
15.008400000000002,341.1,44.0,59.0
0.0,371.1,0.0,60.0
0.0,371.7,0.0,61.0
0.0,371.5,0.0,62.0
0.0,371.8,0.0,63.0
0.0,372.2,0.0,64.0
0.0,372.4,0.0,65.0
0.0,372.3,0.0,66.0
1.4772,369.3,4.0,67.0
2.2013999999999996,366.9,6.0,68.0
3.9886000000000004,362.6,11.0,69.0
5.4075,360.5,15.0,70.0
6.7773,356.7,19.0,71.0
8.1443,354.1,23.0,72.0
9.4581,350.3,27.0,73.0
10.476,349.2,30.0,74.0
11.4444,346.8,33.0,75.0
12.3804,343.9,36.0,76.0
13.668,341.7,40.0,77.0
14.5641,338.7,43.0,78.0
15.479,336.5,46.0,79.0
16.070400000000003,334.8,48.0,80.0
16.9422,332.2,51.0,81.0
-4.111800000000001,373.8,-11.0,82.0
0.0,367.6,0.0,83.0
-0.0,367.6,-0.0,84.0
0.0,367.5,0.0,85.0
0.0,367.9,0.0,86.0
0.0,368.1,0.0,87.0
3.2535,361.5,9.0,88.0
5.3475,356.5,15.0,89.0
6.727900000000001,354.1,19.0,90.0
6.3755999999999995,354.2,18.0,91.0
3.2472000000000003,360.8,9.0,92.0
6.388199999999999,354.9,18.0,93.0
6.4296,357.2,18.0,94.0
0.3673,367.3,1.0,95.0
0.0,368.5,0.0,96.0
0.0,369.0,0.0,97.0
8.1443,354.1,23.0,98.0
6.3738,354.1,18.0,99.0
7.7418,351.9,22.0,100.0
9.0896,349.6,26.0,101.0
4.9952,356.8,14.0,102.0
0.0,367.4,0.0,103.0
7.455,355.0,21.0,104.0
6.038399999999999,355.2,17.0,105.0
6.7108,353.2,19.0,106.0
7.7396,351.8,22.0,107.0
8.72,348.8,25.0,108.0
1.0946999999999998,364.9,3.0,109.0
3.594,359.4,10.0,110.0
0.0,367.3,0.0,111.0
4.9798,355.7,14.0,112.0
5.68,355.0,16.0,113.0
7.032,351.6,20.0,114.0
8.0523,350.1,23.0,115.0
9.3771,347.3,27.0,116.0
-0.36610000000000004,366.1,-1.0,117.0
0.0,366.1,0.0,118.0
5.6672,354.2,16.0,119.0
6.339599999999999,352.2,18.0,120.0
7.7044,350.2,22.0,121.0
7.695600000000001,349.8,22.0,122.0
-1.1016,367.2,-3.0,123.0
11.056,345.5,32.0,124.0
0.0,365.5,0.0,125.0
5.9891000000000005,352.3,17.0,126.0
5.978899999999999,351.7,17.0,127.0
7.008,350.4,20.0,128.0
8.359200000000001,348.3,24.0,129.0
9.643199999999998,344.4,28.0,130.0
-0.36460000000000004,364.6,-1.0,131.0
0.0,364.6,0.0,132.0
4.9504,353.6,14.0,133.0
6.318,351.0,18.0,134.0
7.3143,348.3,21.0,135.0
8.306400000000002,346.1,24.0,136.0
0.0,363.6,0.0,137.0
8.378400000000001,349.1,24.0,138.0
1.4416,360.4,4.0,139.0
0.0,364.6,0.0,140.0
6.318,351.0,18.0,141.0
6.98,349.0,20.0,142.0
8.311200000000001,346.3,24.0,143.0
9.604,343.0,28.0,144.0
5.6096,350.6,16.0,145.0
-0.0,363.3,-0.0,146.0
5.624,351.5,16.0,147.0
6.287400000000001,349.3,18.0,148.0
7.6274,346.7,22.0,149.0
8.284799999999999,345.2,24.0,150.0
-0.36319999999999997,363.2,-1.0,151.0
-0.36369999999999997,363.7,-1.0,152.0
0.0,364.0,0.0,153.0
5.965299999999999,350.9,17.0,154.0
5.9602,350.6,17.0,155.0
7.2848999999999995,346.9,21.0,156.0
8.292,345.5,24.0,157.0
9.6096,343.2,28.0,158.0
-0.3625,362.5,-1.0,159.0
0.0,362.9,0.0,160.0
5.953399999999999,350.2,17.0,161.0
6.276599999999999,348.7,18.0,162.0
7.634,347.0,22.0,163.0
8.9414,343.9,26.0,164.0
0.0,361.8,0.0,165.0
1.0746,358.2,3.0,166.0
0.0,362.0,0.0,167.0
7.2639,345.9,21.0,168.0
6.5892,346.8,19.0,169.0
