kW,V
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
-0.0,435.0
-0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
0.0,435.0
-0.0,435.0
-0.0,435.0
-0.0,435.0
-0.0,435.0
-0.0,435.0
-0.0,435.0
-0.0,435.0
-0.0,434.0
-0.0,434.0
-0.0,434.0
-0.0,434.0
-0.0,434.0
0.0,433.0
0.0,433.0
0.0,433.0
0.432,432.0
0.432,432.0
0.432,432.0
0.864,432.0
1.29,430.0
0.862,431.0
0.862,431.0
1.72,430.0
1.716,429.0
1.716,429.0
1.716,429.0
2.145,429.0
2.14,428.0
2.14,428.0
2.568,428.0
2.562,427.0
2.989,427.0
2.989,427.0
2.989,427.0
3.416,427.0
3.408,426.0
3.408,426.0
3.834,426.0
3.825,425.0
3.825,425.0
4.25,425.0
4.24,424.0
4.664,424.0
4.653,423.0
4.653,423.0
5.076,423.0
5.064,422.0
5.076,423.0
5.064,422.0
5.064,422.0
-0.0,436.0
-0.872,436.0
-0.434,434.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,433.0
-0.0,433.0
-0.433,433.0
-0.0,433.0
0.0,433.0
0.0,432.0
0.431,431.0
0.431,431.0
0.431,431.0
0.86,430.0
0.86,430.0
0.86,430.0
1.287,429.0
1.287,429.0
1.716,429.0
1.716,429.0
1.716,429.0
2.14,428.0
2.14,428.0
2.562,427.0
2.562,427.0
2.562,427.0
2.982,426.0
2.982,426.0
2.982,426.0
3.4,425.0
3.4,425.0
3.4,425.0
3.4,425.0
3.4,425.0
3.4,425.0
3.4,425.0
2.562,427.0
2.562,427.0
2.982,426.0
2.982,426.0
2.982,426.0
2.14,428.0
2.14,428.0
2.14,428.0
0.862,431.0
0.0,433.0
0.0,433.0
0.433,433.0
0.432,432.0
0.432,432.0
0.0,433.0
-0.0,434.0
-0.0,433.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,433.0
0.433,433.0
1.296,432.0
1.293,431.0
0.864,432.0
0.432,432.0
0.433,433.0
0.0,433.0
-0.0,434.0
-0.0,434.0
0.0,434.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.864,432.0
0.866,433.0
0.0,434.0
-0.0,434.0
-0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.433,433.0
0.866,433.0
0.864,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.862,431.0
0.432,432.0
0.862,431.0
0.431,431.0
0.864,432.0
0.862,431.0
0.862,431.0
0.432,432.0
0.432,432.0
0.431,431.0
0.431,431.0
0.864,432.0
0.864,432.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.864,432.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.431,431.0
0.432,432.0
0.432,432.0
0.864,432.0
0.864,432.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.864,432.0
0.864,432.0
0.864,432.0
0.864,432.0
0.864,432.0
0.864,432.0
0.864,432.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
0.862,431.0
1.293,431.0
1.293,431.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.29,430.0
1.716,429.0
1.29,430.0
1.716,429.0
1.72,430.0
1.72,430.0
1.29,430.0
0.862,431.0
0.862,431.0
0.864,432.0
0.864,432.0
0.432,432.0
-0.0,434.0
-0.0,433.0
-0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.0,433.0
0.0,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.432,432.0
0.432,432.0
0.432,432.0
0.433,433.0
0.433,433.0
0.433,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.433,433.0
0.864,432.0
0.864,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.433,433.0
0.432,432.0
0.864,432.0
0.864,432.0
0.432,432.0
0.432,432.0
0.864,432.0
0.864,432.0
0.432,432.0
0.432,432.0
0.433,433.0
0.0,433.0
0.0,433.0
0.0,434.0
0.0,433.0
0.0,434.0
0.0,434.0
0.0,434.0
0.433,433.0
0.864,432.0
0.864,432.0
0.432,432.0
0.432,432.0
0.433,433.0
0.0,434.0
0.0,433.0
0.0,433.0
0.433,433.0
0.864,432.0
0.864,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.432,432.0
0.0,433.0
-0.0,434.0
-0.0,434.0
0.0,434.0
0.0,434.0
0.0,433.0
0.0,434.0
0.0,434.0
0.0,433.0
0.0,433.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,433.0
0.433,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,433.0
0.0,433.0
0.433,433.0
0.0,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.0,433.0
0.433,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.432,432.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,432.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,433.0
0.0,432.0
0.0,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.433,433.0
0.432,432.0
0.433,433.0
0.432,432.0
0.433,433.0
0.0,433.0
0.0,433.0
-0.0,434.0
-0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
0.0,434.0
