kW,V
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,420.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,421.0
0.0,420.0
0.0,420.0
0.0,420.0
0.0,421.0
0.0,421.0
0.0,420.0
0.0,421.0
0.0,420.0
0.0,420.0
0.0,420.0
0.0,421.0
0.0,421.0
0.0,420.0
0.0,421.0
0.0,421.0
0.0,420.0
-0.0,421.0
-0.42,420.0
-0.42,420.0
-0.42,420.0
-0.42,420.0
-0.42,420.0
-0.0,420.0
-0.42,420.0
-0.0,420.0
-0.42,420.0
-0.0,420.0
-0.0,420.0
-0.0,419.0
0.0,419.0
0.0,419.0
0.0,419.0
0.0,419.0
0.0,419.0
0.0,419.0
0.0,418.0
0.419,419.0
0.419,419.0
0.418,418.0
0.418,418.0
0.418,418.0
0.836,418.0
0.419,419.0
0.418,418.0
0.418,418.0
0.836,418.0
0.418,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.834,417.0
0.834,417.0
0.834,417.0
0.836,418.0
0.836,418.0
1.251,417.0
0.834,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
1.251,417.0
0.834,417.0
1.254,418.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
0.836,418.0
0.836,418.0
0.834,417.0
0.836,418.0
1.251,417.0
0.836,418.0
1.251,417.0
1.251,417.0
1.254,418.0
1.251,417.0
1.251,417.0
0.834,417.0
1.251,417.0
0.834,417.0
1.251,417.0
0.834,417.0
0.836,418.0
0.836,418.0
0.834,417.0
0.834,417.0
0.834,417.0
0.836,418.0
0.836,418.0
0.834,417.0
0.834,417.0
0.836,418.0
0.834,417.0
0.836,418.0
0.836,418.0
0.834,417.0
0.834,417.0
0.834,417.0
0.836,418.0
0.836,418.0
0.834,417.0
1.251,417.0
1.251,417.0
1.248,416.0
1.668,417.0
1.664,416.0
1.664,416.0
1.664,416.0
1.664,416.0
1.664,416.0
1.251,417.0
1.251,417.0
0.834,417.0
0.834,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.668,417.0
1.664,416.0
1.248,416.0
1.251,417.0
0.834,417.0
0.834,417.0
0.834,417.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.834,417.0
0.836,418.0
0.834,417.0
0.834,417.0
1.251,417.0
1.248,416.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
1.251,417.0
0.834,417.0
0.834,417.0
0.834,417.0
0.836,418.0
0.836,418.0
0.834,417.0
0.834,417.0
0.834,417.0
0.834,417.0
0.834,417.0
0.834,417.0
0.834,417.0
0.834,417.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.418,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.836,418.0
0.834,417.0
1.251,417.0
0.834,417.0
0.836,418.0
0.834,417.0
0.834,417.0
1.251,417.0
1.248,416.0
1.664,416.0
1.66,415.0
2.075,415.0
2.075,415.0
2.07,414.0
2.075,415.0
2.075,415.0
2.075,415.0
2.075,415.0
2.075,415.0
2.07,414.0
2.075,415.0
2.07,414.0
1.66,415.0
1.66,415.0
2.075,415.0
2.075,415.0
2.075,415.0
2.07,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.484,414.0
2.478,413.0
2.478,413.0
2.478,413.0
2.478,413.0
2.891,413.0
2.484,414.0
2.484,414.0
2.484,414.0
2.478,413.0
2.484,414.0
2.484,414.0
2.478,413.0
2.891,413.0
2.891,413.0
2.891,413.0
2.891,413.0
2.891,413.0
3.296,412.0
2.884,412.0
3.304,413.0
4.11,411.0
4.51,410.0
4.51,410.0
4.51,410.0
4.51,410.0
4.1,410.0
4.51,410.0
4.51,410.0
4.499,409.0
4.92,410.0
4.908,409.0
5.304,408.0
5.712,408.0
5.698,407.0
5.698,407.0
6.496,406.0
6.496,406.0
6.885,405.0
6.868,404.0
7.657,403.0
7.676,404.0
7.657,403.0
7.657,403.0
7.657,403.0
8.04,402.0
8.04,402.0
8.04,402.0
8.04,402.0
8.442,402.0
8.442,402.0
8.442,402.0
8.822,401.0
8.822,401.0
8.844,402.0
9.2,400.0
9.223,401.0
9.6,400.0
9.6,400.0
9.6,400.0
9.6,400.0
9.576,399.0
9.576,399.0
9.576,399.0
9.576,399.0
9.576,399.0
8.822,401.0
8.822,401.0
8.8,400.0
8.822,401.0
8.442,402.0
7.638,402.0
7.657,403.0
7.272,404.0
6.48,405.0
4.884,407.0
2.06,412.0
-1.254,418.0
-0.836,418.0
-0.0,416.0
0.0,416.0
0.0,416.0
