name,mass,resistance,k,ampacity,maxVoltage,minVoltage,nomVoltage,maxCrate,contCrate
Samsung 50s,0.07,0.013,800,5.0,4.2,2.5,3.6,9,5
Molicel p42A,0.07,0.016,800.0,4.2,4.2,2.5,3.6,11,7
Molicel p50B,0.07,0.008,800.0,5.0,4.2,2.5,3.6,12,5
Melasta 8ah,0.161,0.001,800.0,8.0,4.2,2.5,3.7,60.0,30
Melasta 12ah,0.178,0.002,800.0,12.0,4.2,2.5,3.75,10.0,5
Melasta 11.3ah,0.207,0.002,800.0,11.3,4.2,2.5,3.75,30,15
Melasta 14ah,0.232,0.0012,800.0,14.0,4.2,2.5,3.7,20.0,10
Melasta 16ah,0.277,0.001,800.0,16.0,4.2,2.5,3.75,20.0,10
Melasta 22ah,0.355,0.001,800.0,22.0,4.2,2.5,3.7,10,5
Melasta 30ah,0.39,0.0012,800.0,30.0,4.2,2.5,3.7,10.0,5
Melasta 7ah,0.124,0.002,800.0,7.0,4.2,2.5,3.7,30.0,15.0
Melasta 7.7ah,0.125,0.0023,800.0,7.7,4.2,2.5,3.75,16.0,8.0
